name,p4_url,http_status,n_outgal,complexity_rank,best_outgal,all_outgals,error
PGC045958,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045958/P4/,200,2,2,PGC045958_twocomp.outgal,"[""PGC045958_onecomp.outgal"", ""PGC045958_twocomp.outgal""]",
PGC046256,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046256/P4/,404,0,0,,[],
PGC046382,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046382/P4/,200,3,3,PGC046382_dn.outgal,"[""PGC046382_dn.outgal"", ""PGC046382_onecomp.outgal"", ""PGC046382_twocomp.outgal""]",
PGC046436,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046436/P4/,404,0,0,,[],
PGC046474,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046474/P4/,404,0,0,,[],
PGC046630,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC046630/P4/,404,0,0,,[],
PGC047721,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC047721/P4/,200,3,3,PGC047721_dbarn.outgal,"[""PGC047721_dbarn.outgal"", ""PGC047721_onecomp.outgal"", ""PGC047721_twocomp.outgal""]",
PGC047770,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC047770/P4/,404,0,0,,[],
PGC047846,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC047846/P4/,200,3,3,PGC047846_d.outgal,"[""PGC047846_d.outgal"", ""PGC047846_onecomp.outgal"", ""PGC047846_twocomp.outgal""]",
PGC048087,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC048087/P4/,200,3,3,PGC048087_dbarn.outgal,"[""PGC048087_dbarn.outgal"", ""PGC048087_onecomp.outgal"", ""PGC048087_twocomp.outgal""]",
PGC048179,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC048179/P4/,200,3,3,PGC048179_dbarf.outgal,"[""PGC048179_dbarf.outgal"", ""PGC048179_onecomp.outgal"", ""PGC048179_twocomp.outgal""]",
PGC049341,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC049341/P4/,404,0,0,,[],
PGC050229,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC050229/P4/,200,3,3,PGC050229_ddn.outgal,"[""PGC050229_ddn.outgal"", ""PGC050229_onecomp.outgal"", ""PGC050229_twocomp.outgal""]",
PGC051291,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC051291/P4/,200,3,3,PGC051291_dbarn.outgal,"[""PGC051291_dbarn.outgal"", ""PGC051291_onecomp.outgal"", ""PGC051291_twocomp.outgal""]",
PGC051309,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC051309/P4/,404,0,0,,[],
PGC052460,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC052460/P4/,200,3,3,PGC052460_bd.outgal,"[""PGC052460_bd.outgal"", ""PGC052460_onecomp.outgal"", ""PGC052460_twocomp.outgal""]",
PGC052618,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC052618/P4/,404,0,0,,[],
PGC052853,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC052853/P4/,200,3,3,PGC052853_d.outgal,"[""PGC052853_d.outgal"", ""PGC052853_onecomp.outgal"", ""PGC052853_twocomp.outgal""]",
PGC052935,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC052935/P4/,200,1,1,PGC052935_onecomp.outgal,"[""PGC052935_onecomp.outgal""]",
